Name,Address,city,country,phone,email,website,facebook,instagram,twitter,googlemap,license,mon,tue,wed,thu,fri,sat,sun,image,Online_Shop,StoreFront,Recreational,Medical,Curbside_Pickup,Accessible,Security
Buzzed Buds,1562 Queen Street East,"Toronto, ON CA M4L 1E9",Canada,(647) 368-7830,info@buzzedbuds.co,https://www.buzzedbuds.co/locations/toronto-beaches-cannabis-shop/,,,,https://www.google.com/maps/dir/?api=1&destination=1562%20Queen%20Street%20East%20Toronto%2C%20ON%20CA%20M4L%201E9,Adult-Use Retail: CRSA1255522,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/322/869/avatar/1662039244-bb-logo-tiktok.png?fit=crop&auto=format&w=140&h=140
Wonderland Cannabis,1578 Queen Street East,"Toronto, ON CA M4L 1G1",Canada,6478125822,info@wonderlandcannabis.ca,https://www.wonderlandcannabis.ca/,https://www.facebook.com/buywonderland,https://www.instagram.com/wonderlandcannabis,,https://www.google.com/maps/dir/?api=1&destination=1578%20Queen%20Street%20East%20Toronto%2C%20ON%20CA%20M4L%201G1,Adult-Use Retail: CRSA1174801,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/303/594/avatar/1646364910-logosmallwhite.png?fit=crop&auto=format&w=140&h=140
Cannaverse - Scarborough,2555 Eglinton Ave E #8,"Toronto, ON CA M1K 5J1",Canada,(416) 266-1000,marketing@mycannaverse.ca,https://www.mycannaverse.ca/,,https://www.instagram.com/mycannaverse?igshid=NTdlMDg3MTY=,,https://www.google.com/maps/dir/?api=1&destination=2555%20Eglinton%20Ave%20E%20%238%20Toronto%2C%20ON%20CA%20M1K%205J1,Adult-Use Retail: CRSA1177902,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/328/060/avatar/1668021022-download.jpeg?fit=crop&auto=format&w=140&h=140
Cannabuds,2776 Kennedy Road,"Toronto, ON CA M1T 3J2",Canada,416-321-1112,info@shopcannabuds.ca,http://shopcannabuds.ca/,https://www.facebook.com/shopcannabuds,https://www.instagram.com/shop.cannabuds,https://twitter.com/shopcannabuds,https://www.google.com/maps/dir/?api=1&destination=2776%20Kennedy%20Road%20Toronto%2C%20ON%20CA%20M1T%203J2,Adult-Use Retail: CRSA1189761,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 10:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/307/946/avatar/1622484732-cannabuds_leafly_logo.jpg?fit=crop&auto=format&w=140&h=140
Yerba Buena Cannabis,1669 Bayview Avenue,"Toronto, ON CA M4G 3c1",Canada,4164825664,info@ybcannabis.com,http://www.ybcannabis.com/,https://www.facebook.com/YerbaBuenaOfficial,https://www.instagram.com/ybcannabis,,https://www.google.com/maps/dir/?api=1&destination=1669%20Bayview%20Avenue%20Toronto%2C%20ON%20CA%20M4G%203c1,Adult-Use Retail: CRSA1172667,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/304/353/avatar/1605030603-YB_logo-page-001.jpg?fit=crop&auto=format&w=140&h=140
Herbiculture (Scarborough North),"3280 MIDLAND AVE, Unit 19 & 20","SCARBOROUGH, ON CA M1V 4W9",Canada,(416) 299-7785,hello@herbiculture.com,https://www.herbiculture.ca/,https://www.facebook.com/HerbicultureToronto,https://www.instagram.com/HerbicultureON,https://twitter.com/HerbicultureTO,https://www.google.com/maps/dir/?api=1&destination=3280%20MIDLAND%20AVE%2C%20Unit%2019%20%26%2020%20SCARBOROUGH%2C%20ON%20CA%20M1V%204W9,Adult-Use Retail: CRSA1186445,12:00PM - 11:00PM,12:00PM - 11:00PM,12:00PM - 11:00PM,12:00PM - 11:00PM,12:00PM - 11:00PM,12:00PM - 11:00PM,12:00PM - 11:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/304/510/avatar/1625501694-herbiculture_logo_black_jpeg.jpg?fit=crop&auto=format&w=140&h=140
BUDSIDE,2430 Danforth Ave,"Toronto, ON CA M4C1K9",Canada,(416) 690-8081,info@budside.com,http://www.budside.com/,https://www.facebook.com/budsidecanada,https://www.instagram.com/budsidecannabis,https://twitter.com/budsidecannabis,https://www.google.com/maps/dir/?api=1&destination=2430%20Danforth%20Ave%20Toronto%2C%20ON%20CA%20M4C1K9,Adult-Use Retail: CRSA1186245,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/306/585/avatar/1616053570-logo.png?fit=crop&auto=format&w=140&h=140
The Neighbourhood Joint - The Beaches,1987 Queen St E,"Toronto, ON CA M4L 1J1",Canada,4166868676,info@theneighbourhoodjoint.ca,http://www.theneighbourhoodjoint.ca/,https://www.facebook.com/theneighbourhoodjoint,https://www.instagram.com/theneighbourhoodjoint,https://twitter.com/TNJoint,https://www.google.com/maps/dir/?api=1&destination=1987%20Queen%20St%20E%20Toronto%2C%20ON%20CA%20M4L%201J1,Adult-Use Retail: CRSA1172366,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,11:00AM - 6:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/304/056/avatar/1600956501-twitter_profile.png?fit=crop&auto=format&w=140&h=140
High Tea Cannabis Co - Scarborough,4190 Kingston Road Unit 7B,"Scarborough, ON CA M1E 4W1",Canada,905-216-7778,info@highteacann.com,https://highteacann.com/pages/order-scarborough,https://www.facebook.com/highteacann,https://www.instagram.com/highteacannabisco,https://twitter.com/highteacann,https://www.google.com/maps/dir/?api=1&destination=4190%20Kingston%20Road%20Unit%207B%20Scarborough%2C%20ON%20CA%20M1E%204W1,Adult-Use Retail: CRSA #1201293,11:00AM - 7:00PM,11:00AM - 7:00PM,11:00AM - 7:00PM,11:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,12:00PM - 7:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/308/844/avatar/1628789254-165957588_high_tea_cannabis_co_dispensary_legal_weed_scarborough_ontario_shop_ocs.jpeg?fit=crop&auto=format&w=140&h=140
Tokyo Smoke - 3003 Danforth,3003 Danforth Ave,"East York, M4C 1M9 CA ON",Canada,(416) 672-0501,askbob@tokyosmoke.com,https://stores.tokyosmoke.com/on/east-york/3003-danforth-ave,,,,https://www.google.com/maps/dir/?api=1&destination=3003%20Danforth%20Ave%20East%20York%2C%20M4C%201M9%20CA%20ON,Adult-Use Retail: CRSA1172681,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/306/768/avatar/1628791573-osborne.jpeg?fit=crop&auto=format&w=140&h=140
