brand,dispensary,name,type,description,thc,cbd,size,price,image
PAX,['Matchbox Cannabis - Rogers Rd'],Hash,Dry Sift,,31.5% ,,Each,$40.00,https://images.weedmaps.com/products/000/208/464/avatar/1608216104-Screen_Shot_2020-12-17_at_9.41.04_AM.png?fill=solid&fit=crop&auto=format&w=240&h=240
Hiway,['Matrix Cannabis Company'],Wana Quick Strawberry Lime 1:1,Gummies,Hiway hash is a terpene rich solventless extract made from pressed dry sift.,,,Each,$9.57,https://images.weedmaps.com/products/000/260/666/avatar/1620239450-strawberry-lime-arch-1600x1600.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
Wana Canada,['High Park Cannabis Co'],Cloud Buster Sublingual Strips | 10mg THC,Edible Oils,"Bursting with sweet and citrusy flavour, Wana Quick Strawberry Lime THC/CBD 1:1 gummies are infused with a balanced ratio of 10 mg CBD & 10 mg THC distillate. These gummies are handcrafted using a recipe made with pectin, never gelatin, and enhanced with over 30 terpenes. Using a culinary innovation by Azuca Time Infusion TM, Wana Quick gummies may result in a quicker onset and offset of effects*.

*Health Canada states that ingested cannabis takes 30 minutes to 2 hours to take effect and can last for up to 12 hours. In some cases, the effects of cannabis can last up to 24 hours. Cannabis affects everyone differently so always start low and go slow.

Total mg THC per package: 10mg
Total mg CBD per package: 10mg",10% ,20mg ,10 g,$37.89,https://images.weedmaps.com/products/000/199/802/avatar/1618420337-CB10.png?fill=solid&fit=crop&auto=format&w=240&h=240
Kin Slips,['High Park Cannabis Co'],Sativa & Strawberry Gummies,Gummies,"A BLEND FOR CREATIVITY & FOCUS
Cloud Buster™ is crafted with uplifting cannabinoids and terpenes. Excellent for a morning boost or conquering that 3pm slump. Hints of tarragon and citrus.

Suggested Use
When cannabis is absorbed sublingually, or under the tongue, it simply works better. Traditional edibles, like brownies, gummies, and cookies, are often distorted by stomach acids and then broken down by the liver.

Sublingual cannabis products, on the other hand, are pulled straight into the bloodstream through the membranes in the mouth. Peel and discard the paper backing, place Slip under tongue and let dissolve. The onset only takes 10 minutes and the effects feel more like smoking than ingesting a traditional edible.

Available Dosages
☆Single | 10mg THC per Slip | 1 Slip per pack
★Standard | 10mg THC per Slip | 10 Slips per pack 
☆Microdose | 5mg THC per Slip | 20 Slips per pack

Ingredients
Pullulan, Cannabis Oil, Tapioca Starch, Glycerin, Gum Arabic, Sunflower Lecithin, Quillaja Extract, Natural Flavors, Natural Colors (Beet, Annatto), Natural Terpenes, Monk Fruit Extract, Water",10% ,,Each,$6.27,https://images.weedmaps.com/products/000/277/735/avatar/1643138548-twd_strawberry_gummies_175g_1.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
Twd.,['Wonder Pot'],Pax 3 Complete Kit - Black,Batteries,"These naturally strawberry-flavoured, cannabis-infused soft chews are made using sativa-dominant cannabis distillate and other simple ingredients. With five soft chews per pack, each soft chew contains 2 mg of THC, offering a discreet and dosable cannabis experience.",,,Each,$279.00,https://images.weedmaps.com/products/000/099/941/avatar/1556838852-Pax3_blk_1.png?fill=solid&fit=crop&auto=format&w=240&h=240
PAX,['Matchbox Cannabis - Rogers Rd'],Wana Quick Midnight Berry Indica,Gummies,"The ultimate portable cannabis vaporizer for dry herb and extracts. The PAX 3 is powerful yet discreet, smart yet easy-to-use. Our engineering and technology gets the best out of your flower. The PAX conduction oven heats your cannabis flower gently and evenly so there’s little waste. Backed by a 10-year warranty for added peace of mind. 22-second heat-up time for on-demand vaping. 360 F - 420 F temperature range so you can achieve your ideal combination of flavor and vapor. Colored LED lights provide real-time communication and the device conveniently vibrates when ready for use. PAX 3 heats when you bring it to your lips and cools when you set it down. More control with the PAX app.
Included in the kit:
• Concentrate Insert
• Multi-Tool Keychain
• Half Pack Oven Lid
• 3 Screens
• Flat & Raised Mouthpieces
• Standard Oven Lid
• USB Charger
• Maintenance Kit",10mg ,1% ,Each,$9.50,https://images.weedmaps.com/products/000/339/521/avatar/1642180359-midnightberry-branded-1600x1600.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
Wana Canada,"['Matchbox Cannabis - Rogers Rd', 'Matchbox Cannabis - Steeles Ave', 'Culture Rising - Milton']",Florida Citrus Kush,Flower,"Wana Quick Midnight Berry Gummies have a sweet berry flavour combined with a custom blend of 10 mg CBD, 2 mg THC, and 5 mg CBN per gummie. Best consumed at night, they're handcrafted with pectin (never gelatin) for an elevated texture. Wana Quick Midnight Berry Gummies are enhanced with over 30 specialized terpenes recommended for nighttime use. Using Azuca Time Infusion, a culinary innovation, Wana Quick gummies may result in a quicker onset and offset of effects.* Each package contains 2 gummies.

*Health Canada: It can take up to 4 hours to feel the full effects from eating or drinking cannabis. Consuming more within this time period can result in adverse effects that may require medical attention. The effects from eating or drinking cannabis can be long-lasting. The effects can last between 6 and 12 hours following use.",26% ,10mg ,Each,$34.85,https://images.weedmaps.com/products/000/278/578/avatar/1630600578-mr_leafly_flower_florida_citrus_kush_floating.png?fill=solid&fit=crop&auto=format&w=240&h=240
Mood Ring,['Runway Pot'],Indica 12x0.5g Pre-Rolls,Pre Roll,"Mood Ring Florida Citrus Kush is a strong, Indica dominant hybrid. Its dense trichomes covered buds provide a rich creamy taste of spicy citrus topped by a true, but subtle Kush aftertaste. The effect comes on quickly due to the hybrid heritage and after floating on the experience, the Indica influence brings a long-standing euphoric and mellow experience. Grown in small batches, by legacy growers using tried and tested methods to produce only the highest quality flower. Hang dried, hand trimmed, hand selected, hand portioned and hand packaged!

Mood Ring Whole Flower is carefully sourced and curated by our award-winning cannabis sommelier. Drawing upon years of experience growing and phenotyping, he seeks out and brings to you the most unique and highly sought-after cultivars from revered growers across Canada.

To make sure our premium buds stay excellent, we seal them in a tin with nitrogen. Nitrogen locks in the freshness. It helps keep out enemies like light and oxygen, while preserving the terpene profile.

Our packaging is 100% recyclable, and the nitrogen we use to seal the can is a renewable resource. What’s more, every time you buy a Mood Ring product, you help plant a tree right in your home province. All thanks to our charitable partnership with One Tree Planted. ",20% ,,Each,$34.99,https://images.weedmaps.com/products/000/277/389/avatar/1625688039-twd_prj_render_12x05g_indica.png?fill=solid&fit=crop&auto=format&w=240&h=240
Twd.,"['Your Local Cannabis - Scarborough, Kennedy & Lawrence']",Sativa,Flower,"Twd. Indica pre-rolls use an assortment of curated indica strains, which are THC-dominant, to create a rolled and ready-to-use product. Just take it out of the package. You’re all set. This set of Twd. Indica pre-rolls come in a pack of 12 x 0.5g per pre-roll.",,,Each,$37.99,https://images.weedmaps.com/products/000/205/130/avatar/1607628084-Screen_Shot_2020-12-10_at_2.20.39_PM.png?fill=solid&fit=crop&auto=format&w=240&h=240
Twd.,"['Your Local Cannabis - Scarborough, Kennedy & Lawrence', 'YBH Green']",GP20,Flower,"Sativa dried flower is a strain with very high THC potency potential and very little CBD. All Twd. products are Canadian-grown, and each plant is carefully cultivated. Where you find Twd., you’ll find value. It’s that simple. This Sativa dried flower is available in 3.5 g, 7 g, or 15 g dried flower sizes.",,16mg ,1/8 oz,$59.95,https://images.weedmaps.com/products/000/283/266/avatar/1654190394-cookies_gp20_countertop.jpeg?fill=solid&fit=crop&auto=format&w=240&h=240
