brand,dispensary,name,type,description,thc,cbd,size,price,image
,[],Sativa & Strawberry Gummies,Gummies,,10% ,,Each,$6.27,https://images.weedmaps.com/products/000/277/735/avatar/1643138548-twd_strawberry_gummies_175g_1.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
,[],PAX Era Life - Blaze,Pull,,,,Each,$44.99,https://images.weedmaps.com/products/000/251/398/avatar/1617199710-Era_Life_Blaze.png?fill=solid&fit=crop&auto=format&w=240&h=240
,[],Hash,Dry Sift,,31.5% ,0.25% ,Each,$40.00,https://images.weedmaps.com/products/000/208/464/avatar/1608216104-Screen_Shot_2020-12-17_at_9.41.04_AM.png?fill=solid&fit=crop&auto=format&w=240&h=240
,[],Wana Sour Gummies Japanese Citrus Yuzu 2:1,Gummies,,,20mg ,Each,$8.97,https://images.weedmaps.com/products/000/260/663/avatar/1620238650-1200px-x-1200px-yuzu.jpg?fill=solid&fit=crop&auto=format&w=240&h=240
,[],THCA Diamonds,Concentrates,,87.16% ,,3/4 g,$74.97,https://images.weedmaps.com/products/000/267/952/avatar/1622642196-thc_diamonds.jpeg?fill=solid&fit=crop&auto=format&w=240&h=240
,[],Wana Quick Midnight Berry Indica,Gummies,,10mg ,40mg ,Each,$9.50,https://images.weedmaps.com/products/000/339/521/avatar/1642180359-midnightberry-branded-1600x1600.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Deep Space,Drinks,,10mg ,,Each,$7.15,https://images.weedmaps.com/products/000/204/634/avatar/1607548994-Screen_Shot_2020-12-09_at_4.22.58_PM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],GP20,Flower,,,,1/8 oz,$59.95,https://images.weedmaps.com/products/000/283/266/avatar/1654190394-cookies_gp20_countertop.jpeg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Limon Splashdown,Drinks,,10mg ,,Each,$8.00,https://images.weedmaps.com/products/000/313/587/avatar/1635277352-20290_dps_2_beauty_label_render_opta1.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Pomegranate 4:1 CBD/THC,Gummies,,10mg ,4mg ,Each,$4.95,https://images.weedmaps.com/products/000/401/800/avatar/1658507810-pearls-pomegranate-branded-1600x1600.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Wana Quick Strawberry Lime 1:1,Gummies,,,1mg ,Each,$9.57,https://images.weedmaps.com/products/000/260/666/avatar/1620239450-strawberry-lime-arch-1600x1600.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Blueberry Acai Sparkling Water,Drinks,,,,Each,$5.17,https://images.weedmaps.com/products/000/207/963/avatar/1608125763-Screen_Shot_2020-12-16_at_8.35.30_AM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
